url,eventDate,eventType,price,MLS
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1201/home/190871615,"Aug 15, 2024",Sold (MLS),"$220,000",X9440659
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1201/home/190871615,"May 21, 2024",Listed,"$249,900",X9440659
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1216/home/181613471,"Sep 22, 2023",Sold (MLS),"$290,000",X9026740
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1216/home/181613471,"Aug 23, 2023",Listed,"$309,000",X9026740
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1217/home/181613320,"Oct 11, 2024",Sold (MLS),"$347,500",X9458842
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1217/home/181613320,"Sep 27, 2024",Listed,"$350,000",X9458842
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1706/home/185739310,"Aug 29, 2024",Sold (MLS),"$355,000",X9440765
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1706/home/185739310,"Jun 4, 2024",Listed,"$374,900",X9440765
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1716/home/190758619,"Aug 15, 2024",Sold (MLS),"$280,000",X9439205
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1716/home/190758619,"Jun 20, 2024",Listed,"$299,900",X9439205
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1717/home/181613386,"Mar 12, 2025",Sold (MLS) (Closed),"$336,000",X10425280
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1717/home/181613386,"Nov 14, 2024",Listed (Active),"$369,000",X10425280
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1717/home/181613386,"Jan 7, 2025",Delisted (Off Market),—,X10425295
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1717/home/181613386,"Nov 14, 2024",Listed (Active),"$369,000",X10425295
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1903/home/190703695,"Nov 13, 2024",Sold (MLS),"$371,600",X9516429
